image_id,text
24,"হলেন সুনামগঞ্জের ১ম জেলা পরিষদ প্রশাসক ব্যারিষ্টার এম. এনামুল কবির
"
25,"ইমন। তার স্ত্রী ছিলেন সুনামগঞ্জ জেলা মহিলা আওয়ামী লীগের আমৃত্যু
"
26,"শহরটির অবস্থানের অক্ষাংশ ও দ্রাঘিমাংশ হল ২২°৩০′ উত্তর ৮২°৩৩′ পূর্ব
"
27,"প্রাচীন আরবে শায়বান তাদের দলের সাথে মৌসুম অনুসারে ঘুরে বেড়াত।
"
28,"যখন ঘুরে বেড়াত তখন নাজদের জাদিয়ায় শীতকালীন ছিল এবং গ্রীষ্মের
"
29,"জন্য বা গরম আবহাওয়ার জন্য ফোরাতের আশেপাশের উর্বর নিম্নভূমিতে চলে
"
30,"যায়। এই উর্বর নিম্নভূমি উত্তরে জাজিরা থেকে ইরাক এবং তীরবর্তী
"
31,"অঞ্চল  পার্সিয়ান উপসাগরীয় অবধি ছিল।   এই সময়ের
"
32,"তাদের প্রধান শত্রু ছিল বনু তাগলিব এবং বনু তামিম উপজাতি।
"
33,"ইতিমধ্যে প্রাচীন আরব কাল থেকেই উপজাতিটি ""কবিদের অসাধারণ গুণ আরবি
"
34,"ভাষার অত্যন্ত বিশুদ্ধ রূপ এবং আরবি ভাষার জন্য সংগ্রামের উৎসাহ""।
"
35,"আরবি ভাষার মান তারা ইসলামিক আমলে ধরে রেখেছে, যখন ইতিহাস
"
36,"উভয়ই তাদের নিজস্ব দক্ষতা এবং তাদের কবিদের পৃষ্ঠপোষকতায় মন্তব্য করে।
"
37,"এথ্‌নোলগ এবং আইএসওর মতে ইরানি ভাষা ""খলজ"" একই জনসংখ্যা দ্বারা
"
38,"ব্যবহৃত হয়, কিন্তু গ্লটোলগের মতে এটি বিদ্যমান নয়। খালজরা তাদের
"
39,"তুর্কী ভাষা ও ফারসি ভাষায় কথা বলে, এবং খলজদের অনুমিত
"
40,"ম্যাগনেসিয়াম ক্লোরাইডের গঠনকাঠামো ক্যাডমিয়াম ক্লোরাইড ছাঁচের অনুরূপ। এগুলো দেখতে অষ্টতলকীয়,
"
41,"সেলসিয়াস)।  ম্যাগনেসিয়াম ক্লোরাইডের হাইড্রেটগুলোর তাপীয় বিযোজন এত সহজে সংঘটিত
"
42,"একজন ব্যাটসম্যান তখনই রান আউট হবেন যখন খেলা চলাকালীন তিনি
"
43,"যদি ব্যাট বা স্বয়ং পপিং ক্রিজের বাইরে অবস্থান করা অবস্থায়
"
44,"ইউক্রেন পূর্বে সোভিয়েত ইউনিয়ন এর অন্তর্ভুক্ত ছিল। ১৯৯১ সালের ২৪
"
45,"আগস্ট ইউক্রেনের পার্লামেন্ট একটি সাংবিধানিক প্রস্তাব অনুমোদন এবং গ্রহণ করে।
"
46,"যেই প্রস্তাবে সোভিয়েত ইউনিয়ন ভেঙ্গে ইউক্রেনের স্বাধীনতার ঘোষণা ছিল। পরবর্তীতে,
"
47,"১৯৯১ সালের ২৬ ডিসেম্বর সোভিয়েত ইউনিয়ন ভেঙ্গে যায় এবং রাশিয়া
"
48,"ও ইউক্রেনসহ মোট ১৫ টি পৃথক স্বাধীন রাষ্ট্রের সৃষ্টি হয়।
"
49,"ইউক্রেন প্রতিষ্ঠার পর অতি সত্বর, ১৯৯১ সালের ২৮ ডিসেম্বর, ইন্দোনেশিয়া
"
50,"ইউক্রেনের স্বাধীনতার স্বীকৃতি দান করে। তবে এই দুই দেশের মধ্যে
"
51,"কূটনৈতিক সম্পর্ক স্থাপনের জন্য আরও কিছুদিন সময় লাগে। ১৯৯২ সালের
"
52,"৬ জুন এই দুই দেশের মধ্যে আনুষ্ঠানিকভাবে কূটনৈতিক সম্পর্ক স্থাপিত
"
53,"সেখানে একটি ভাষা আন্দোলন উদ্ভুত হচ্ছে,  এবং সাম্প্রতিক দশকগুলোতে
"
54,"হিন্দকো-ভাষী বুদ্ধিজীবীরা হিন্দকো কে একটি পৃথক ভাষা হিসাবে প্রচার করতে
"
55,"শুরু করেছেন। এই ভাষা বা উপভাষায় উত্তর-পশ্চিমে পেশাওয়ারের শহুরে বৈচিত্র্য
"
56,"পেশাওয়ারির উপর ভিত্তি করে একটি সাহিত্য ঐতিহ্য রয়েছে, এবং উত্তর-পূর্বে
"
57,"অ্যাবটাবাদের ভাষার উপর ভিত্তি করে আরেকটি সাহিত্যিক ঐতিহ্য রয়েছে। পাকিস্তানের
"
58,"২০১৭ সালের আদমশুমারিতে সাড়ে ৪৬ লক্ষ মানুষ হিন্দকোকে তাদের ভাষা
"
59,"গার্হস্থ্য সহিংসতার শিকার হওয়া লিঙ্গ ও যৌন অভিমুখের সীমা অতিক্রম
"
60,"করে। মহিলারা প্রায়শই গার্হস্থ্য সহিংসতার শিকার ও পুরুষদের তুলনায় 
"
61,"বেশি আঘাত বা স্বাস্থ্যের পরিণতি ভোগের সম্ভাবনা থাকে, কিন্তু পুরুষরাও
"
62,"উল্লেখযোগ্য সংখ্যায় গার্হস্থ্য সহিংসতার শিকার হয়, যার মধ্যে শারীরিক সঙ্গীর
"
63,"সহিংসতা ঘটনাগুলিও রয়েছে। এলজিবিটি দম্পতির উল্লেখযোগ্য শতাংশও পারিবারিক সহিংসতার সমস্যার
"
64,"মুখোমুখি হয়। মার্কিন যুক্তরাষ্ট্রে সামাজিক ও অর্থনৈতিকভাবে সুবিধাবঞ্চিত গোষ্ঠীগুলি অন্যান্য
"
65,"গোষ্ঠীর তুলনায় নিয়মিতভাবে গার্হস্থ্য সহিংসতার হারের মুখোমুখি হয়। উদাহরণস্বরূপ, প্রায়
"
66,"৬০% নেটিভ আমেরিকান মহিলারা তাদের জীবনকালে একজন সঙ্গী বা স্বামী
"
67,"ইয়োসি বেইলিন ১৯৯০-এর দশকে ইসরায়েল -ফিলিস্তিন শান্তি প্রক্রিয়ার একটি উল্লেখযোগ্য
"
68,"ব্যক্তিত্ব ছিলেন। তিনি ব্যাক-চ্যানেল আলোচনায় অংশ নিয়েছিলেন, যা অবশেষে ১৯৯৩
"
69,"সালের অসলো চুক্তি গ্রহণের দিকে পরিচালিত করে, এটি ইসরায়েল-ফিলিস্তিন সংঘাতের
"
70,"জোয়াকিম বাক্সলা ১৯৫৫ সালের ১৬ জানুয়ারি জন্মগ্রহণ করেন। তার পিতার
"
71,"নাম জন আর্থার বাক্সলা ও মায়ের নাম মেরি আশ্রিতা বাক্সলা।
"
72,"জোয়াকিম কলকাতার সেন্ট জেভিয়ার্স কলেজ থেকে স্নাতক ডিগ্রি লাভ করেছেন।
"
73,"পাবলিক অ্যাডমিনিস্ট্রেশন শব্দটি ঐতিহ্যগতভাবে সরকারি সংস্থাগুলোর আনুষ্ঠানিক ব্যবস্থাকে বোঝাতে ব্যবহৃত
"
74,"হয়, যেখানে সরকারি প্রতিষ্ঠানগুলো জনস্বার্থে সেবা প্রদান করে। ১৮০০ থেকে
"
75,"১৯০০-এর দশকের গোড়ার দিকে লোকপ্রশাসনের বিকাশ মূলত ম্যাক্স ভেবারের আমলাতান্ত্রিক
"
76,"তত্ত্ব, ব্রিটেনে পেশাদার সিভিল সার্ভিস প্রতিষ্ঠার নর্থকোট-ট্রেভেলিয়ান রিপোর্ট এবং মার্কিন
"
77,"যুক্তরাষ্ট্রে উড্রো উইলসনের জনপ্রশাসন ও নীতির পৃথকীকরণের ধারণা দ্বারা প্রভাবিত
"
78,"শুরুতে ব্যবহারকারীদের জন্য জিমেইল বিনামূল্যে ১ গিগা বাইট স্পেস দেয়।
"
79,"পরবর্তীতে তা ২ গিগা থেকে ৪ গিগাবাইট করা হয়। বর্তমানে
"
80,"বিনামূল্যে ব্যবহারের জন্য জিমেইল ব্যবহারকারীদের ১৫ গিগাবাইট স্পেস দিচ্ছে যা
"
81,"ক্রমান্বয়ে বাড়ছে। এর পাশাপাশি ইচ্ছে করলে জায়গা বাড়ানোর সুযোগও দিয়েছে।
"
82,"এক্ষেত্রে ২৫ গিগাবাইটের জন্য মাসিক ২.৪৯ ডলার,১৬ টেরাবাইট স্পেসের জন্য
"
83,"মাসিক ৭৯৯.৯৯ ইউএস ডলার দিতে হবে। ২০১১ অক্টোবর পর্যন্ত জিমেইলের
"
84,"ব্যবহারকারী ২৬০ মিলিয়ন। ২০০৫ সালের ১ এপ্রিল জিমেইলে প্রথম জন্মদিনে
"
85,"১৯৫২ সালে, রেসিং সান্তান্দেরের হয়ে খেলার মাধ্যমে হেন্তো তার পেশাদার
"
86,"ক্যারিয়ার শুরু করেন এবং পরবর্তী মৌসুমে রিয়াল মাদ্রিদে যোগদান করেন।
"
87,"তিনি রেকর্ড পরিমাণ (যৌথ) ৮ বার ইউরোপিয়ান কাপের ফাইনালে খেলেছেন,
"
88,"যার মধ্যে রেকর্ড পরিমাণ ৬ বার জয়লাভ করেছেন। এছাড়াও তিনি
"
89,"নাজমুল ১৯৬৭ সালের ২১ জুলাই খুলনায় জন্মগ্রহণ করেন। তিনি ক্রিসেন্ট
"
90,"মাধ্যমিক বিদ্যালয় থেকে ১৯৮৩ সালে এসএসসি এবং সরকারি ব্রজলাল কলেজ
"
91,"থেকে ১৯৮৫ সালে এইচএসসি পাস করেন। তিনি বাংলাদেশ কৃষি বিশ্ববিদ্যালয়
"
92,"থেকে ১৯৮৯ সালে বিএসসি (ফিশারিজ) এবং ১৯৯১ সালে এমএস ডিগ্রি
"
93,"অর্জন করেন। তিনি জাপানের টোকিও বিশ্ববিদ্যালয় থেকে ২০০০ সালে এমএসসি
"
94,"এবং ২০০৩ সালে পিএইচডি ডিগ্রি লাভ করেন। পরবর্তীকালে, ২০০৮ সালে
"
95,"দশরথ জ্যেষ্ঠপুত্র রামকে রাজ্যাভিষিক্ত করতে চাইলে কৈকেয়ীকে মন্থরা নানা ভাবে
"
96,"উত্তেজিত করতে থাকে। প্রথমদিকে কৈকেয়ী এসবে কান না দিলেও অবশেষে
"
97,"মন্থরার যুক্তিতে তার বুদ্ধি নাশ হয়। সে কৈকেয়ীকে মনে করিয়ে
"
98,"দেয় দশরথ শম্বরাসুরের সাথে যুদ্ধে আহত হলে কৈকেয়ী তাকে রণভূমি
"
99,"থেকে সরিয়ে এনে সেবা দিয়ে সুস্থ্য করেছিলেন তখন দশরথ তাকে
"
100,"একই সাথে দুটি বর দিতে রাজি হয়েছিলেন। এখন সেই সময়
"
101,"উপস্থিত হয়েছে তার উচিত প্রথম বরে ভরতকে রাজ্যে অভিষিক্ত করা
"
102,"এবং দ্বিতীয় বরে রামকে চৌদ্দ বছরের জন্য বনে পাঠানো। সত্যরক্ষার
"
103,"লক্ষ্মী শ্রুতি ১৯৯৬ সালের ১২ই জুন চেন্নাইতে জন্মগ্রহণ করেন। তিনি
"
104,"১২ বছর বয়সে স্কোয়াশ খেলা শুরু করেছিলেন। তাঁর বাবা এবং
"
105,"মায়ের নাম যথাক্রমে সুরেশ এবং বৈষ্ণবী সেত্তিপল্লী। তিনি মাদ্রাজ ক্রিকেট
"
106,"ক্লাবে খেলে নিজের স্কোয়াশ জীবন শুরু করেন এবং তারপরে জাতীয়
"
107,"কোচ সাইরাস পোঞ্চার অধীনে চেন্নাইয়ের আইসিএল-টিএনএসআরএ স্কোয়াশ একাডেমিতে প্রশিক্ষণ নেওয়া
"
108,"শুরু করেন। শ্রুতি লেডি অন্ডাল স্কুলের ছাত্রী। জাতীয় ও আন্তর্জাতিক
"
109,"স্কোয়াশ টুর্নামেন্টে তাঁর প্রদর্শনের জন্য তিনি ""বর্ষসেরা ক্রীড়াবিদ"" পুরস্কারে ভূষিত
"
110,"হয়েছেন। তিনি দিল্লিতে অনুষ্ঠিত অল ইন্ডিয়া পুঞ্জ লয়েডস টুর্নামেন্টে দলগত
"
111,"আওয়ামী ওলামা লীগ ১৯৯৬ সালে তৎকালীন আওয়ামীলীগ সভানেত্রী এবং পরবর্তীতে
"
112,"উত্তরাখণ্ডের সতোপন্থ এবং ভাগীরথ খড়ক হিমবাহের পাদদেশে ও সঙ্গমস্থলে অলকানন্দা
"
113,"উদ্গত হয় এবং ২১ কিলোমিটার দুরের তিব্বত থেকে আগত উপনদী
"
114,"সরস্বতী নদীর সঙ্গে মানায় মিলিত হয়। মানা থেকে তিন কিলোমিটার
"
115,"বাসাইল ইউনিয়নের আয়তন- ৪১৬০ একর।   গ্রাম - ১২
"
116,"১৯২৩ সালের বাণিজ্যিক নৌ পরিবহন আইনের ৬নং ধারার বিধান মেনে
"
117,"১৯৪৮ সালে সরকারি সমুদ্র পরিবহন অফিস গঠিত হয়। এছাড়াও অফিসটি
"
118,"বাংলাদেশ মার্চেন্ট শিপিং অধ্যাদেশ, ১৯৮৩,বাংলাদেশ বাণিজ্যিক জাহাজ চলাচল সর্বনিম্ন নিরাপদ
"
119,"নাগরিক সংখ্যা আদেশ, ১৯৯০,বাংলাদেশ সমুদ্র পরিবহন (নাবিক নিয়োগ) বিধিমালা, ২০০১,নাবিক
"
120,"রিক্রুটিং, এজেন্ট লাইসেন্স বিধিমালা, ২০০৫,এবং বাংলাদেশ নৌবাণিজ্যিক জাহাজ অফিসার ও
"
121,"নাবিক প্রশিক্ষণ, সনদায়ন, নিয়োগ, কর্মঘণ্টা এবং ওয়াচকিপিং বিধিমালা, ২০১১ দ্বারা
"
122,"আবদুল করিম বেপারী ১৯২৯ মুন্সীগঞ্জ জেলার মীরকাদিম পৌরসভার রামগোপালপুর গ্রামে
"
123,"১৯৪৭ সালে যুক্তরাষ্ট্রীয় প্রজাতন্ত্র হিসাবে ভারতীয় প্রজাতন্ত্র গঠিত হয়। ১৯৫৬
"
124,"সালে রাজ্য পুনর্গঠন আইন প্রণয়ন হলে ভাষা ভিত্তিক প্রতিটি রাজ্যের
"
125,"রাজ্য সীমানা পুনর্নির্ধারণ করা হয়। ফলে বহু রাজ্যকে তাদের নিজেদের
"
126,"ভাষায় নাম দেওয়া হয়।অনেক রাজ্যের তাদের ভৌগোলিক পরিবেশ, অদ্ভুত ইতিহাস
"
127,"নিয়মিত হারপুন ক্ষেপণাস্ত্র সক্রিয় র‌্যাডার হোমিং ব্যবহার করে এবং প্রতিপক্ষের
"
128,"প্রতিরোধ ব্যবস্থা থেকে বাঁচতে জলের ঠিক উপরে ওড়ে। ক্ষেপণাস্ত্রটি চালু
"
129,"প্রথমে বিএইসি পাট গবেষণা ইনিস্টিটিউটের ভবনে তাদের কার্যক্রম শুরু করে।
"
130,"এরপর স্থানান্তরিত হয়ে ঢাকা বিশ্ববিদ্যালয় ক্যাম্পাসের ৪ কাজী নজরুল ইসলাম
"
131,"এভিনিউতে কার্যক্রম শুরু করে। বাংলাদেশ পরমাণু শক্তি কমিশন বর্তমানে শেরেবাংলা
"
132,"নগরের আগারগাঁও-এ অবস্থিত। ১৯৮৮ সালের পূর্বে প্রতিষ্ঠানটির নাম ছিল বাংলাদেশ
"
133,"আণবিক শক্তি কমিশন, এরপর নাম পরিবর্তন করে রাখা হয় বাংলাদেশ
"
134,"পরমাণু শক্তি কমিশন। ভৌত বিজ্ঞান, জৈব বিজ্ঞান ও প্রকৌশল এই
"
135,"তিনটি শ্রেণীতে বিভক্ত হয়ে পরমাণু কমিশন তাদের সকল গবেষণা কার্যক্রম
"
136,"মজন হাসান ১৯৭৯ সালে সৌদি আরবে মিশরীয় পিতামাতার কাছে জন্মগ্রহণ
"
137,"করেছিলেন। তার বাবা সেখানে একটি বিশ্ববিদ্যালয়ে কাজ করতেন এবং তার
"
138,"মা ছিলেন একজন শিক্ষাবিদ। তাকে ১০ বছর বয়স থেকে সৌদি
"
139,"আরবে তার ইচ্ছার বিরুদ্ধে পর্দা করতে হয়েছিল, যতক্ষণ না ১৪
"
140,"বছর বয়সে তার পরিবার মিশরে ফিরে আসে। তিনি কায়রো বিশ্ববিদ্যালয়
"
141,"থেকে নাগরিক সমাজ ও মানবাধিকার বিষয়ে ডিপ্লোমা এবং আমেরিকান কায়রো
"
142,"বিশ্ববিদ্যালয় থেকে আন্তর্জাতিক মানবাধিকার বিষয়ে স্নাতকোত্তর ডিগ্রি অর্জন করেন। তিনি
"
143,"বলেছেন যে তার মা তাকে নারীবাদী হওয়ার জন্য অনুপ্রাণিত করেছিলেন।
"
144,"স্থানীয় ভাষায় এই সূচিকর্মের নাম কাশিদা। সূচিকর্ম বা কাসিডাকারিকে পাঞ্জাবি
"
145,"এবং  এবং হিন্দি ভাষায় বলা হয় কাশিদা-কারি।  এটি
"
146,"ওয়াল্টার ফ্লেমিং ১৮৭৫ সালে এবং অ্যাদুয়ার্দো ভ্যান বেনডেন ১৮৭৬ সালে
"
147,"যৌথভাবে সেন্ট্রোজোম আবিষ্কার করেন এবং পরবর্তীতে থিওডোর বোভারি ১৮৮৮ সালে
"
148,"গুপ্ত ছিলেন কিরণচন্দ্র সেন এবং জ্যোতির্ময়ী দেবীর ছয় সন্তানের চতুর্থ
"
149,"সন্তান এবং দ্বিতীয় মেয়ে। তার পিতা ছয় বছর বয়সে মারা
"
150,"যান, এবং তিনি তার মা দ্বারা লালিতাপালিতা হন, যিনি তাকে
"
151,"অন্য পাঁচ ভাইবোন সহ দেখাশুনা করতে সংগ্রাম করেছিলেন। তিনি কলকাতায়
"
152,"সেন্ট মার্গারেট স্কুল থেকে পড়াশোনা করেন। তিনি ম্যাট্রিকুলেশন পরীক্ষায় মেয়েদের
"
153,"মধ্যে প্রথম হয়েছিলেন। তিনি গণিত নিয়ে সম্মানিক স্তরে বেথুন কলেজ
"
154,"থেকে স্নাতক হন। ২০ বছর বয়সে তিনি আই.সি.এস. অফিসার শৈবাল
"
155,"ব্র্যান্ড ১৯২০ সালের ১৩ই আগস্ট আইওয়ার গ্রিসওয়ল্ডে জন্মগ্রহণ করেন। তার
"
156,"পিতা লিও টমাস ব্র্যান্ড (২৪ জুন ১৮৯২ - ১৮ এপ্রিল
"
157,"১৯৮৫) এবং মাতা হেলেন লুইস ডেভিস (৪ আগস্ট ১৯৯০ -
"
158,"২৩ অক্টোবর ১৯৯১)। তার পিতা ড্রেট্রয়েটে ইলেকট্রিশিয়ান ও ব্রিজ নির্মাণের
"
159,"লোহার শ্রমিক হিসেবে কাজ করতেন। তিনি তার পিতামাতার সপ্তম সন্তান।
"
160,"তার এক ভাই ব্রাইস ও দুই বোন বারবারা বাইর্ন ও
"
161,"লুইস টার্নগ্রেন। নেভিল ইলিনয়ের কিওয়ানিতে বেড়ে ওঠেন এবং সেখানেই একটি
"
162,"স্কুলে পড়াশোনা করেন। স্কুলে অধ্যয়ন শেষ হওয়ার পর পরিবারের ভরণপোষণের
"
163,"জন্য তিনি কিওয়ানিতে সোডা জার্ক, ওয়েটার ও জুতার দোকানের বিক্রয়কর্মী
"
164,"ওল্ড ফার্ম হল স্কটিশ ফুটবল ক্লাব সেল্টিক এবং রেঞ্জার্সের সম্মিলিত
"
165,"নাম, যে দুটিই গ্লাসগোতে অবস্থিত। দুটি ক্লাব এখন পর্যন্ত স্কটল্যান্ডে
"
166,"সবচেয়ে সফল এবং জনপ্রিয় এবং তাদের মধ্যে প্রতিদ্বন্দ্বিতা স্কটিশ সংস্কৃতিতে
"
167,"গভীরভাবে গেঁথে গেছে। এটি স্কটল্যান্ডে রাজনৈতিক, সামাজিক এবং ধর্মীয় বিভাজন
"
168,"এবং সাম্প্রদায়িকতাকে প্রতিফলিত করেছে এবং অবদান রেখেছে।ফলস্বরূপ, ফিক্সচারটি বিশ্বজুড়ে স্থায়ী
"
169,"দেশটিতে যৌন উদ্দেশ্যে মানব পাচারের প্রাথমিক শিকার হল নারী ও
"
170,"মেয়েরা। তারা সবাই কিরগিজস্তানের নৃগোষ্ঠীর সদস্য এবং এছাড়াও বিদেশীরা। ক্ষতিগ্রস্তদের
"
171,"কিরগিজস্তানের মধ্যে এবং এশিয়ার অন্যান্য দেশে ও বিভিন্ন মহাদেশে পাচার
"
172,"করা হয়। শিশু, দারিদ্র্যপীড়িত মানুষ এবং অভিবাসীরা যৌন উদ্দেশ্যে মানব
"
173,"পাচারের জন্য বিশেষভাবে ঝুঁকিপূর্ণ। তাঁদের অপহরণ করা হয়, প্রতারিত করা
"
174,"হয়, হুমকি দেওয়া হয়, এবং অথবা পতিতাবৃত্তিতে ও বিবাহে বাধ্য
"
175,"করা হয়। তাঁদের পাসপোর্ট এবং অন্যান্য নথি প্রায়ই নিয়ে নেওয়া
"
176,"হয়। তাঁরা শারীরিক ও মানসিক নির্যাতন এবং আঘাতের শিকার হন
"
177,"তাঁদের সাধারণত নজরদারির মধ্যে রাখা হয় বা আটকে রাখা হয়।
"
178,"ধর্ষণের ফলে এবং কনডম ব্যবহার না করার জন্য অনেকেই যৌনতা
"
179,"সংযুক্ত রোগে সংক্রামিত হন। অনেক সময় তাঁদের পরিবারের সদস্যদেরও হুমকি
"
180,"লেখক এবং স্বাক্ষরকারীরা বিশ্বাস করেন যে, অত্যাবশ্যকীয় ওষুধ ও শিক্ষায়
"
181,"অসম প্রবেশাধিকার, প্রতিযোগিতাবিরোধী অর্থনীতির অনুশীলন, মালিকানার একাগ্রতা, প্রযুক্তিগত নিয়ন্ত্রণ যেমন
"
182,"ডিজিটাল অধিকার ব্যাবস্থাপনা (ডিআরএম), লেখক ও নির্মাতাদের ন্যায্য ক্ষতিপূরণ নিয়ন্ত্রণ,
"
183,"এবং ব্যক্তিগত স্বার্থে পাবলিক ডোমেইন তালাবদ্ধ করে রাখাসহ ইত্যাদি বিভিন্ন
"
184,"কারণে ""জ্ঞান, প্রযুক্তি এবং সংস্কৃতি পরিচালনার ক্ষেত্রে বিশ্ব একটি সংকটের
"
185,"কুরআনে বর্ণিত গল্পসমগ্র পূর্বের বিভিন্ন ধর্মগ্রন্থে উল্লেখ করা হয়েছিল। তবে
"
186,"তাদের সম্প্রদায় নিজেদের স্বার্থে গল্পগুলো বিকৃত করেছিল। তারা চিরকুমারী মরিয়মকে
"
187,"অপমান, দাউদকে দোষারোপ ও ঈসাকে খোদার আসনে আসীন করেছিল। কুরআনের
"
188,"বর্ণনায় এসব অস্বীকার করা হয়েছে। ঊনবিংশ শতাব্দীর পরবর্তী সময়ে প্রাচ্যবাদীরা
"
189,"কুরআনে প্রকাশিত গল্প নিয়ে আবার সন্দেহ প্রকাশ করে। এই পটভূমিতে
"
190,"লেখক এই অভিযোগগুলো খণ্ডন করা এবং পাঠকদের মন শুদ্ধ করাকে
"
191,"নিজের উপর অপরিহার্য দায়িত্ব হিসেবে গ্রহণ করেছিলেন। তার মূল লক্ষ্য
"
192,"হল গল্পের নৈতিকতার দিকে পাঠকদের দৃষ্টি আকর্ষণ করা, যাতে মুসলমানরা
"
193,"উভয় জগতে সাফল্যের জন্য একটি সঠিক পথ (ইসলামি জীবন পদ্ধতি)
"
194,"ভাগীরথী নামটি পৌরাণিক। কিংবদন্তি অনুযায়ী, সগর রাজার বংশধর তথা 
"
195,"সগরবংশীয় রাজা দিলীপের পুত্র রাজা ভগীরথ মর্ত্যলোকে গঙ্গা নদীর পথপ্রদর্শক
"
196,"ছিলেন বলে গঙ্গার অপর নাম ভাগীরথী। হুগলি নামটি অপেক্ষাকৃত প্রাচীন
"
197,"।  ইংরেজ আমলেই সর্বপ্রথম ভাগীরথীর দক্ষিণভাগের প্রবাহকে হুগলি নামে
"
198,"২৫ বছরের নিচে যৌনকার্যে সক্রিয় সকল নারীদের প্রতিবছর এই 
"
199,"রোগের পরীক্ষা করানো উচিত। সমকামী পুরুষদের ক্ষেত্রেও একই কথা প্রযোজ্য।
"
200,"জানাযার নামাজ একজন ইমামের নেতৃত্বে জামাতের সাথে বা দলবদ্ধভাবে সংগঠিত
"
201,"হয়। অংশগ্রহণকারীরা বেজোড় সংখ্যক কাতারে বা সারিতে সারিবদ্ধভাবে দাঁড়িয়ে এ
"
202,"নামায আদায় করেন। এটি ৪ তকবিরের নামাজ। দাঁড়িয়ে এ নামাজ
"
203,"আদায় করতে হয় এবং সালাম ফেরানোর মধ্য দিয়ে এ নামায
"
204,"শেষ হয়। সাধারণত জানাযার নামাযের শেষে মুনাজাত বা দোয়া করতে
"
205,"হয়, কারণ ইসলামের প্রতিষ্ঠিত বিধান অনুযায়ী এ নামাযের মাধ্যমে মৃতের
"
206,"জন্য দোয়া করা হয়, কারণ ফরজ নামাজের পর দোয়া কবুল
"
207,"হয়। জানাযা ও দোয়া শেষে মৃতব্যক্তিকে অবিলম্বে গোরস্থানে নিয়ে যেতে
"
208,"হয় এবং ইসলামী রীতিতে কবর তৈরী করে মাটিতে দাফন করতে
"
